;target;prediction_target_1;metric_1
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.5868037485396994
cmt_de#op-4119782-8661590;cmt_en#op-3343741-2145006;cmt_en#op-3343741-2145006;0.6284584584415855
cmt_de#c-6476451-2581059;cmt_en#c-1611583-0668331;cmt_en#c-1611583-0668331;0.6646069601758073
cmt_de#op-0136947-6585575;cmt_en#op-6283707-9260731;cmt_en#op-1997920-3046898;0.582205581060713
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.2645157106076803
cmt_de#op-6999775-8658617;cmt_en#op-2649033-9712859;cmt_en#op-2649033-9712859;0.33524664764437284
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-0261939-6958814;0.9096764456893753
cmt_de#op-4267478-9907556;cmt_en#op-5548425-1932115;cmt_en#op-5548425-1932115;0.3790567413952907
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.36525580671709595
cmt_de#c-7914897-1988765;cmt_en#c-3027646-3365825;cmt_en#c-3027646-3365825;0.5521686697040263
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7452997-4133095;0.4339563241594972
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-4204612-8254155;0.4931703113037243
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-2074692-1147118;0.6929300564261877
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-1997920-3046898;0.4245618274561713
cmt_de#op-5585072-3196242;cmt_en#op-3741712-7753689;cmt_en#op-3741712-7753689;0.43497119626467423
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.30547413405327783
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.5218044100299977
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.24441014096697564
cmt_de#op-8860290-4901047;cmt_en#op-9779608-5108867;cmt_en#op-9779608-5108867;0.24176603763003363
cmt_de#op-8743766-4367043;cmt_en#op-6688605-5254034;cmt_en#op-6688605-5254034;0.505994085359134
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.3049436048031945
cmt_de#op-9131907-0871491;cmt_en#op-8724798-7163354;cmt_en#op-8724798-7163354;0.47053249379449474
cmt_de#op-6806056-6808473;cmt_en#op-9145996-5514392;cmt_en#op-9145996-5514392;0.5496502044046553
cmt_de#c-5888543-5318130;cmt_en#c-7224102-6220619;cmt_en#c-7224102-6220619;0.3518684811150663
cmt_de#c-4872876-3932965;cmt_en#c-4062369-5383392;cmt_en#c-2074692-1147118;0.5575480847866414
cmt_de#ent-5017088-6756639;cmt_en#ent-1689293-3812948;cmt_en#ent-1689293-3812948;0.3616525607123856
cmt_de#c-8330184-9824066;cmt_en#c-2282104-8815481;owl#disjointWith;0.9329848756461814
cmt_de#op-7851598-8792255;cmt_en#op-0563197-2956391;cmt_en#op-0563197-2956391;0.38816645865243177
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-6143522-2877268;0.4951076377817314
cmt_de#op-0603706-6484397;cmt_en#op-7822155-2346526;cmt_en#op-7822155-2346526;0.5217925748138079
cmt_de#op-9724235-4357611;cmt_en#op-5999633-4351656;cmt_en#op-5999633-4351656;0.37571164711818295
cmt_de#c-7511748-5827387;cmt_en#c-2074692-1147118;cmt_en#c-2074692-1147118;0.3752549073080964
cmt_de#op-2707356-6407444;cmt_en#op-3715253-7341884;cmt_en#op-3715253-7341884;0.4137444547703975
cmt_de#c-5325416-2794476;cmt_en#c-6817901-7377121;cmt_en#c-6817901-7377121;0.2274959688205135
cmt_de#c-8082317-4346619;cmt_en#c-8066557-3199962;cmt_en#c-8066557-3199962;0.2939442651231939
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-3673731-3704063;0.46090721495484427
cmt_de#op-6688188-2661083;cmt_en#op-8994929-8698791;cmt_en#op-8994929-8698791;0.4328848763447113
cmt_de#op-9262861-2168864;cmt_en#op-7848370-1577514;cmt_en#op-7848370-1577514;0.40633918844376515
cmt_de#op-7761501-2770581;cmt_en#op-2611597-4191733;cmt_en#op-2611597-4191733;0.3674739751993169
cmt_de#ent-6414249-7356026;cmt_en#ent-6218326-5775008;cmt_en#ent-6218326-5775008;0.36230525909742267
cmt_de#c-8450582-0542304;cmt_en#c-0430420-0075813;cmt_en#c-4413043-1523228;0.33075385733189905
