;target;prediction_target_1;metric_1
conference_de#c-6600254-2450629;sigkdd_en#c-7357680-6909888;sigkdd_en#c-7357680-6909888;0.7878423473525453
conference_de#op-1806324-3972847;sigkdd_en#op-4778648-3039012;sigkdd_en#op-4778648-3039012;0.3290701165461398
conference_de#c-2852856-4092117;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.16600900280093558
conference_de#c-8195847-6754106;sigkdd_en#c-5937062-8520809;sigkdd_en#c-9656043-0451863;0.7513373769857765
conference_de#c-5694210-3113803;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.401227748408628
conference_de#c-7096317-3412127;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.60310658714417
conference_de#c-0369442-7501730;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.1980010072132552
conference_de#c-2807153-3693543;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.3366894940010246
conference_de#c-9625814-4995879;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.5130216804244956
conference_de#op-6034483-9201945;sigkdd_en#op-5101248-3088535;sigkdd_en#op-5101248-3088535;0.3464173048300387
