;target;prediction_target_1;metric_1
cmt_en#c-3027646-3365825;conference_de#c-5694210-3113803;conference_de#c-5694210-3113803;0.3842606015134648
cmt_en#c-1611583-0668331;conference_de#c-6828546-9901709;conference_de#c-6828546-9901709;0.3842045986153257
cmt_en#c-2074692-1147118;conference_de#c-2852856-4092117;conference_de#c-2852856-4092117;0.33429928573577267
cmt_en#c-9519178-7885109;conference_de#c-2807153-3693543;conference_de#c-2807153-3693543;0.28630068608681897
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-9185334-5782431;0.5080767647082909
cmt_en#op-8575895-0911006;conference_de#op-1945545-2946293;conference_de#op-4737759-4638811;0.7712683887615788
cmt_en#c-6029021-0998116;conference_de#c-6508590-8109709;conference_de#c-6508590-8109709;0.6110044202144562
cmt_en#c-3387453-2881212;conference_de#c-7158328-5483937;conference_de#c-7158328-5483937;0.6792495494104814
cmt_en#c-3969637-3563037;conference_de#c-4756237-0913680;conference_de#c-4756237-0913680;0.8447831296928732
cmt_en#op-2798366-1946309;conference_de#op-4621167-8649272;conference_de#op-8738966-6560487;0.8378192216885104
