;target;prediction_target_1;metric_1
conference_en#c-0513615-7095489;sigkdd_de#c-6985541-3131901;sigkdd_de#c-6985541-3131901;0.5413202012528279
conference_en#c-0153241-8442178;sigkdd_de#c-0695531-5412063;sigkdd_de#c-0695531-5412063;0.35720101972887475
conference_en#op-5728539-7928456;sigkdd_de#op-2955099-2207630;sigkdd_de#op-2955099-2207630;0.3947410768834762
conference_en#c-0975007-5643450;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.42806862913450117
conference_en#c-2974852-3474918;sigkdd_de#c-6469555-3746715;22-rdf-syntax-ns#type;1.0305548714211274
conference_en#c-7121259-3662514;sigkdd_de#c-1052931-1641701;sigkdd_de#c-1052931-1641701;0.8047253445266802
conference_en#c-4444483-2447834;sigkdd_de#c-9282764-4133286;sigkdd_de#c-9282764-4133286;0.5477460971933308
conference_en#c-9453090-9458986;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.8005091255644528
conference_en#ent-4516568-5595755;sigkdd_de#ent-0138865-5902109;sigkdd_de#c-9302905-7296086;0.8222579306623187
conference_en#c-3746645-9598977;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.3165014859074068
conference_en#c-5005169-5278256;sigkdd_de#c-4301546-5674434;sigkdd_de#c-1052931-1641701;0.7972022025143957
conference_en#c-9312690-4124149;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.5858603108435806
conference_en#c-6525918-2089133;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.48085090565688143
conference_en#c-7081035-6117083;sigkdd_de#c-0094164-6634357;sigkdd_de#c-0094164-6634357;0.7797575982575919
conference_en#op-0316178-5626069;sigkdd_de#op-0836929-5233701;sigkdd_de#op-0836929-5233701;0.4348844394661865
