;target;prediction_target_1;metric_1
conference_en#c-5450625-9274279;confOf_de#c-2472530-7442299;confOf_de#c-2472530-7442299;0.15551847747456796
conference_en#ent-4516568-5595755;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;0.7442607226084087
conference_en#c-8279198-9011918;confOf_de#c-3756950-6271891;confOf_de#c-3756950-6271891;0.21282702998360922
conference_en#c-7255821-5359025;confOf_de#c-6031375-0881001;confOf_de#c-6031375-0881001;0.7799502400302628
conference_en#c-2446635-7449628;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.43284719925819515
conference_en#c-8376732-6542959;confOf_de#c-7620981-0130792;confOf_de#c-7620981-0130792;0.6027895904351863
conference_en#c-3746645-9598977;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.32486002459174923
conference_en#c-6525918-2089133;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.508932785738089
conference_en#c-0949358-2763718;confOf_de#c-2463275-9197848;confOf_de#c-2463275-9197848;0.38925006220117403
conference_en#c-4444483-2447834;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.27394460213259764
conference_en#op-6979143-6235556;confOf_de#op-4302120-7233512;confOf_de#op-4302120-7233512;0.7571069693679157
conference_en#c-0975007-5643450;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.3114373835849646
conference_en#ent-9588809-0668690;confOf_de#ent-9875824-2357826;confOf_de#ent-9875824-2357826;0.6647715446632255
conference_en#ent-8856556-5729357;confOf_de#ent-0303881-5975791;confOf_de#ent-0303881-5975791;0.8146295807162909
