;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.3884220937411967
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.48687284555046356
confOf_de#c-8118103-3976495;confOf_en#c-0499297-8084322;confOf_en#c-0499297-8084322;0.4180886282645914
confOf_de#op-5847282-2267282;confOf_en#op-4178089-9091832;confOf_en#op-4178089-9091832;0.4924388346279589
confOf_de#c-4861385-1103485;confOf_en#c-3826751-4914269;confOf_en#c-8897779-7605019;0.45125583512337697
confOf_de#ent-5642216-9536112;confOf_en#ent-8617792-4471683;confOf_en#ent-8617792-4471683;0.574407954348397
confOf_de#ent-9378447-8956054;confOf_en#ent-1700978-0800293;confOf_en#ent-6734221-5873053;0.49824723002483734
confOf_de#c-0977717-2950137;confOf_en#c-8897779-7605019;confOf_en#c-8897779-7605019;0.41576529075130303
confOf_de#c-9260969-5532672;confOf_en#c-4918829-3001709;confOf_en#c-7155976-8510258;0.469979777583278
confOf_de#ent-7472904-1496645;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.41417796041667015
confOf_de#op-4302120-7233512;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.38565419088752845
confOf_de#op-0668174-3248392;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.7205431036772629
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.40538709623047553
confOf_de#c-0126412-6208972;confOf_en#c-9402184-3168847;confOf_en#c-9402184-3168847;0.5123849709473381
confOf_de#c-4439571-8274936;confOf_en#c-4940510-7116222;confOf_en#c-4940510-7116222;0.611288966268716
confOf_de#ent-3116369-8783570;confOf_en#ent-4532610-9643499;confOf_en#ent-4532610-9643499;0.520811695351182
confOf_de#c-0553488-4726167;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.5303250903473417
confOf_de#ent-5550018-6700451;confOf_en#ent-3724946-8160347;confOf_en#ent-3724946-8160347;0.4600476388600041
confOf_de#c-0505747-2615706;confOf_en#c-0319363-2610594;confOf_en#c-0319363-2610594;0.5900219081902865
confOf_de#ent-5742004-8000728;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.45827756601152214
confOf_de#c-2022407-5202362;confOf_en#c-1546212-3884536;confOf_en#c-1546212-3884536;0.41515179477146663
confOf_de#ent-3531218-9750426;confOf_en#ent-9012565-8739542;confOf_en#ent-9012565-8739542;0.5470152967367163
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.5030136977568983
