;target;prediction_target_1;metric_1
sigkdd_de#c-1975722-3062538;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.16195892589901378
sigkdd_de#c-2334066-8778202;sigkdd_en#c-2971568-4653657;sigkdd_en#c-2971568-4653657;0.3852455664229218
sigkdd_de#op-0496595-9432839;sigkdd_en#op-4467419-9190823;sigkdd_en#op-4467419-9190823;0.1471658639282684
sigkdd_de#c-7808089-4928984;sigkdd_en#c-3800373-8198658;sigkdd_en#c-3800373-8198658;0.5463597234399418
sigkdd_de#c-2689271-9857625;sigkdd_en#c-4095132-8928036;sigkdd_en#c-4095132-8928036;0.1304790376232503
sigkdd_de#ent-7525202-3357334;sigkdd_en#ent-1255069-8857146;sigkdd_en#ent-6945476-8980997;0.5600702999276319
sigkdd_de#op-5726044-8910848;sigkdd_en#op-7781882-8225488;sigkdd_en#op-7781882-8225488;0.1639547127629817
sigkdd_de#op-1005860-9935354;sigkdd_en#op-0358048-9340662;sigkdd_en#op-0358048-9340662;0.17517860088133466
sigkdd_de#op-3901475-6910808;sigkdd_en#op-7996089-2358292;sigkdd_en#op-7996089-2358292;0.18811467767338713
sigkdd_de#c-3867058-2838516;sigkdd_en#c-6356419-4596819;sigkdd_en#c-6356419-4596819;0.16348760465151738
sigkdd_de#op-1549992-0103030;sigkdd_en#op-1986890-7846167;sigkdd_en#op-1986890-7846167;0.18040903385516946
sigkdd_de#c-5541011-4485740;sigkdd_en#c-4408098-5910124;sigkdd_en#c-7287097-6354392;0.21316872845038662
sigkdd_de#ent-1646067-6583158;sigkdd_en#ent-0035096-2402503;sigkdd_en#ent-5258086-9094070;0.43359417163556097
sigkdd_de#c-5850113-5122819;sigkdd_en#c-4402529-2023643;sigkdd_en#c-7092519-9239674;0.6170180243008251
sigkdd_de#c-1587059-6708917;sigkdd_en#c-8492343-3188887;sigkdd_en#c-8492343-3188887;0.2075695601055497
sigkdd_de#c-0419564-4277308;sigkdd_en#c-7165036-6864096;sigkdd_en#c-7165036-6864096;0.24716725100633224
sigkdd_de#ent-3892449-0313636;sigkdd_en#ent-4408730-1320391;sigkdd_en#ent-6795922-7675825;0.2839786231983029
sigkdd_de#c-5524974-3116937;sigkdd_en#c-7201186-4592712;sigkdd_en#c-7201186-4592712;0.19316848148824156
sigkdd_de#op-6914055-1852287;sigkdd_en#op-0893463-6791984;sigkdd_en#op-0893463-6791984;0.2215141971580371
sigkdd_de#c-7379473-9781356;sigkdd_en#c-5988514-6350175;sigkdd_en#c-5988514-6350175;0.15190125564838342
sigkdd_de#c-6985541-3131901;sigkdd_en#c-7357680-6909888;sigkdd_en#c-7357680-6909888;0.5796057842722692
sigkdd_de#c-4711434-5769445;sigkdd_en#c-8570424-4038182;sigkdd_en#c-8570424-4038182;0.20587678849913202
sigkdd_de#op-7778495-5250855;sigkdd_en#op-4588680-8309474;sigkdd_en#op-4588680-8309474;0.1462799821797191
sigkdd_de#op-2344492-4602298;sigkdd_en#op-1929902-8457454;sigkdd_en#op-1929902-8457454;0.3014514004791365
sigkdd_de#op-2222974-4946181;sigkdd_en#op-5788630-0787234;sigkdd_en#op-5788630-0787234;0.15468994846176315
sigkdd_de#c-6801077-9660974;sigkdd_en#c-5243564-3002269;sigkdd_en#c-5268789-8381535;0.3004523285348088
sigkdd_de#op-9258168-1550244;sigkdd_en#op-4016118-2436545;sigkdd_en#op-5430589-5394464;0.2265050429902822
sigkdd_de#c-1463146-3958561;sigkdd_en#c-0410372-0876754;sigkdd_en#c-2971568-4653657;0.32399967656763556
sigkdd_de#ent-9506029-4384266;sigkdd_en#ent-4334834-0139494;sigkdd_en#ent-2375537-3899257;0.41796187419166514
sigkdd_de#c-4426271-6299311;sigkdd_en#c-7909190-7180764;sigkdd_en#c-0092598-8150334;0.20755402638444337
sigkdd_de#op-0836929-5233701;sigkdd_en#op-5101248-3088535;sigkdd_en#op-5101248-3088535;0.2552918505404752
sigkdd_de#op-7981549-5780784;sigkdd_en#op-5430589-5394464;sigkdd_en#op-5430589-5394464;0.21617473493876396
sigkdd_de#c-9937182-0544372;sigkdd_en#c-7218530-9921151;sigkdd_en#c-7092519-9239674;0.5458238284046447
sigkdd_de#c-7958316-3629503;sigkdd_en#c-4249220-5767505;sigkdd_en#c-7287097-6354392;0.3459235614013425
sigkdd_de#ent-0228699-0914491;sigkdd_en#ent-2375537-3899257;sigkdd_en#ent-2375537-3899257;0.3295426152881411
sigkdd_de#c-3777294-9496881;sigkdd_en#c-9656043-0451863;sigkdd_en#c-9656043-0451863;0.4317282441577373
sigkdd_de#ent-3304226-6226138;sigkdd_en#ent-5258086-9094070;sigkdd_en#c-9656043-0451863;0.5114148185971501
sigkdd_de#c-3477390-2381487;sigkdd_en#c-1350325-0780321;sigkdd_en#c-1350325-0780321;0.16980009063069307
sigkdd_de#c-0094164-6634357;sigkdd_en#c-4956507-8354862;sigkdd_en#c-6722062-3545965;0.4505606825728529
sigkdd_de#c-4126640-5313604;sigkdd_en#c-3869300-1065009;sigkdd_en#c-0092598-8150334;0.18536723965063095
sigkdd_de#op-3816868-2166376;sigkdd_en#op-3129961-5988302;sigkdd_en#op-3129961-5988302;0.11745283136798518
sigkdd_de#c-6140019-6453251;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.21328655670187835
sigkdd_de#c-7753839-9560987;sigkdd_en#c-9932783-9574589;sigkdd_en#c-9932783-9574589;0.3128425356967019
sigkdd_de#c-6469555-3746715;sigkdd_en#c-3661201-8652994;sigkdd_en#c-3661201-8652994;0.33070891136679625
sigkdd_de#ent-1700090-3901005;sigkdd_en#ent-8043331-3659734;sigkdd_en#ent-4408730-1320391;0.2367940925604206
sigkdd_de#c-8468797-7679212;sigkdd_en#c-2170683-2078960;sigkdd_en#c-0092598-8150334;0.21258501072709893
sigkdd_de#ent-3844426-4630787;sigkdd_en#ent-5985310-3715518;sigkdd_en#ent-4334834-0139494;0.4406285657295529
sigkdd_de#op-2375848-3510341;sigkdd_en#op-4440329-9009612;sigkdd_en#op-4440329-9009612;0.19195297544691592
sigkdd_de#c-3760592-8292146;sigkdd_en#c-7287097-6354392;sigkdd_en#c-4249220-5767505;0.2514426006851171
sigkdd_de#c-1670757-7005751;sigkdd_en#c-1144746-3205183;sigkdd_en#c-1144746-3205183;0.2421964039986301
sigkdd_de#ent-5762878-4478584;sigkdd_en#ent-1904903-3191481;sigkdd_en#ent-1904903-3191481;0.32250824748212725
sigkdd_de#c-2769827-8195865;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.14228551166411588
sigkdd_de#c-9920303-9624193;sigkdd_en#c-1615562-8494578;sigkdd_en#c-1615562-8494578;0.24405715548295503
sigkdd_de#c-5796626-5205866;sigkdd_en#c-3782386-9035854;sigkdd_en#c-3782386-9035854;0.30176842588955444
sigkdd_de#c-9302905-7296086;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.16359030838316382
sigkdd_de#c-5742228-5366012;sigkdd_en#c-0092598-8150334;sigkdd_en#c-0092598-8150334;0.23948938760493213
sigkdd_de#c-4301546-5674434;sigkdd_en#c-2288341-0956338;not;0.34759306127580547
sigkdd_de#c-7099779-6421757;sigkdd_en#c-2636703-8787934;sigkdd_en#c-2636703-8787934;0.1296385733373941
sigkdd_de#c-6541109-1088286;sigkdd_en#c-7092519-9239674;sigkdd_en#c-7092519-9239674;0.42245830742678775
