;target;prediction_target_1;metric_1
conference_de#c-4650867-2477948;conference_en#c-8550632-1205594;conference_en#c-8550632-1205594;0.3131089797635222
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.38922979319065093
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-5876431-4161956;0.3574052253162384
conference_de#c-4615338-8666561;conference_en#c-0685358-3873350;conference_en#c-0685358-3873350;0.4065553870246259
conference_de#c-2225732-5117501;conference_en#c-2523530-3328853;conference_en#c-2523530-3328853;0.17277310901569265
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.31784911156512824
conference_de#c-1859458-4041433;conference_en#c-4658794-0941326;conference_en#c-4658794-0941326;0.48974116283135855
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;conference_en#c-5450625-9274279;0.4779942031495321
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-4286005-1404476;0.28119357841292447
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-2881096-9762712;0.34474193276021886
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.22156159606731313
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-9417986-2023425;0.39862990168675994
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.27486712752850695
conference_de#c-8115832-0092831;conference_en#c-5732310-8306083;conference_en#c-5732310-8306083;0.24821499549615672
conference_de#op-7940821-6078131;conference_en#op-4084032-4002742;conference_en#op-4084032-4002742;0.42270352605764117
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-8856556-5729357;0.3091819936029853
conference_de#c-1178842-2732173;conference_en#c-8170886-3522509;conference_en#c-0361407-5806327;0.6231507457555637
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.42538738924121805
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.4713659448924183
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;conference_en#c-5623276-9536395;0.3935938620408436
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.35294791361725036
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.3180704294696276
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.45927836961990703
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-2884928-1098675;0.5160785706652201
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.34794909384205364
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.3470981369037046
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-9959587-2502467;0.2682506036529756
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-6270579-7841141;0.47079295303900615
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-9417986-2023425;0.40349817011123673
conference_de#op-2922778-5582937;conference_en#op-4028676-2638300;conference_en#op-4028676-2638300;0.48842551715030263
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#ent-2881096-9762712;0.5518296161672106
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.3411022484130146
