;target;prediction_target_1;metric_1
cmt_en#op-2611597-4191733;confOf_de#op-1722644-5121501;confOf_de#op-1722644-5121501;0.5552792992321351
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.5170382645204828
cmt_en#c-6062733-3218604;confOf_de#c-0977717-2950137;confOf_de#c-0977717-2950137;0.5084186957543996
cmt_en#c-8066557-3199962;confOf_de#c-4973711-7358267;confOf_de#c-4973711-7358267;0.2600025894050636
cmt_en#c-3355504-9442806;confOf_de#c-3286368-6722233;confOf_de#c-3286368-6722233;0.5339868268557457
cmt_en#ent-7592571-9671564;confOf_de#ent-5742004-8000728;confOf_de#ent-5742004-8000728;0.2985341374931892
cmt_en#c-3969637-3563037;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.8422975269822851
cmt_en#c-4413043-1523228;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.3482350206622823
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.4004453951738875
cmt_en#op-7452997-4133095;confOf_de#op-9873670-8357831;confOf_de#op-9873670-8357831;0.4427228393870414
cmt_en#c-3027646-3365825;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.2795164254208646
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.35694071058435617
cmt_en#c-5409377-9286012;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.26385822787408014
cmt_en#ent-1648737-1451089;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;1.088045462709756
