;target;prediction_target_1;metric_1
cmt_en#c-3027646-3365825;sigkdd_de#c-9282764-4133286;sigkdd_de#c-9282764-4133286;0.15146883221345037
cmt_en#c-5409377-9286012;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.34058830308666166
cmt_en#c-4062369-5383392;sigkdd_de#c-5541011-4485740;sigkdd_de#c-5541011-4485740;0.3266048364056988
cmt_en#c-8693270-2767092;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.340291947770507
cmt_en#c-2079829-2275666;sigkdd_de#c-7606899-8734332;sigkdd_de#c-7606899-8734332;0.7183145609708433
cmt_en#ent-1648737-1451089;sigkdd_de#ent-0138865-5902109;sigkdd_de#ent-0138865-5902109;1.0225913463583345
cmt_en#c-5375467-1655905;sigkdd_de#c-1052931-1641701;sigkdd_de#c-0094164-6634357;0.7508440819980527
cmt_en#c-6062733-3218604;sigkdd_de#c-3760592-8292146;sigkdd_de#c-3760592-8292146;0.26111407514017065
cmt_en#op-4706944-2787728;sigkdd_de#op-7778495-5250855;sigkdd_de#op-7778495-5250855;0.3437486354927962
cmt_en#c-9519178-7885109;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.16423128225418673
