;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.32396160102746807
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.242931858728981
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-9180975-7931356;0.3404173302043283
confOf_de#ent-1987350-8650340;confOf_en#ent-8881801-2437397;confOf_en#ent-8881801-2437397;0.28208860720907575
confOf_de#c-9260969-5532672;confOf_en#c-4918829-3001709;confOf_en#c-4918829-3001709;0.32231674699677393
confOf_de#op-4302120-7233512;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.24671156781288595
confOf_de#op-0668174-3248392;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.31292523691930607
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.31454256539475317
confOf_de#c-4702748-1915950;confOf_en#c-3868234-1876752;confOf_en#c-3868234-1876752;0.40792443577758236
confOf_de#ent-6095931-1291276;confOf_en#ent-6379747-8396882;confOf_en#ent-6379747-8396882;0.3225401277514329
confOf_de#c-9531197-4911923;confOf_en#c-6062393-2520649;confOf_en#c-6062393-2520649;0.28176302986314133
confOf_de#c-7709681-8293969;confOf_en#c-5701075-1274855;confOf_en#c-5701075-1274855;0.18567661518207318
confOf_de#c-4345951-5264002;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.2845129139911116
confOf_de#ent-0303881-5975791;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.23620460822866382
confOf_de#ent-9393618-3251719;confOf_en#ent-9519410-6347395;confOf_en#ent-9519410-6347395;0.23070399640936268
confOf_de#ent-0835076-0487700;confOf_en#ent-5730464-5416292;confOf_en#ent-5730464-5416292;0.36970059259827565
confOf_de#c-0064824-4442977;confOf_en#c-6604321-4337835;confOf_en#c-6604321-4337835;0.23992901941040226
