;target;prediction_target_1;metric_1
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.535502490865432
cmt_en#c-6062733-3218604;confOf_de#c-0977717-2950137;confOf_de#c-0977717-2950137;0.6783915671484854
cmt_en#c-3355504-9442806;confOf_de#c-3286368-6722233;confOf_de#c-3286368-6722233;0.4701859062375075
cmt_en#ent-7592571-9671564;confOf_de#ent-5742004-8000728;confOf_de#ent-5742004-8000728;0.34158298296087297
cmt_en#c-3969637-3563037;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.8362254788552719
cmt_en#c-4413043-1523228;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.3042587544700168
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.25210322749491215
cmt_en#op-7452997-4133095;confOf_de#op-9873670-8357831;confOf_de#op-1722644-5121501;0.5009621396973543
cmt_en#c-3027646-3365825;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.2611896510268922
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.40745411312346225
cmt_en#c-9519178-7885109;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.18162535865962523
cmt_en#c-5409377-9286012;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.2530953092695454
