;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.29753673744517634
confOf_de#op-5548380-9195122;confOf_en#op-7718872-4722905;confOf_en#op-7718872-4722905;0.4639622777054135
confOf_de#c-4861385-1103485;confOf_en#c-3826751-4914269;confOf_en#c-9180975-7931356;0.45237233390870885
confOf_de#ent-5642216-9536112;confOf_en#ent-8617792-4471683;confOf_en#ent-8617792-4471683;0.4498548980005704
confOf_de#ent-9378447-8956054;confOf_en#ent-1700978-0800293;confOf_en#ent-1700978-0800293;0.3072687548575046
confOf_de#c-3716617-5099119;confOf_en#c-6109887-5999898;confOf_en#c-6109887-5999898;0.32829668529467176
confOf_de#c-9260969-5532672;confOf_en#c-4918829-3001709;confOf_en#c-4918829-3001709;0.30046740831934843
confOf_de#ent-7472904-1496645;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.27676806098461293
confOf_de#c-0126412-6208972;confOf_en#c-9402184-3168847;confOf_en#c-9402184-3168847;0.3271442510273623
confOf_de#ent-5550018-6700451;confOf_en#ent-3724946-8160347;confOf_en#ent-3724946-8160347;0.3315274946750303
confOf_de#ent-5742004-8000728;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.29287767688878025
confOf_de#c-2022407-5202362;confOf_en#c-1546212-3884536;confOf_en#c-4918829-3001709;0.352910093031028
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.35291935721084167
confOf_de#ent-6312613-2029317;confOf_en#ent-5934500-8154939;confOf_en#ent-5934500-8154939;0.4514477231792302
confOf_de#c-7709681-8293969;confOf_en#c-5701075-1274855;confOf_en#c-5701075-1274855;0.3341597277678098
confOf_de#ent-2160031-2946829;confOf_en#ent-3180463-1145375;confOf_en#ent-3180463-1145375;0.35017145013008905
confOf_de#c-4345951-5264002;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.309066816366632
confOf_de#op-1722644-5121501;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.41455132043623005
confOf_de#c-7620981-0130792;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.44274476414766806
confOf_de#c-1803256-3977939;confOf_en#c-5948332-3267518;confOf_en#c-5948332-3267518;0.42118716530874417
confOf_de#op-4508989-0566286;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.428083009069283
confOf_de#c-6386839-2509220;confOf_en#c-3107403-2678849;confOf_en#c-3107403-2678849;0.2722450343605638
confOf_de#c-0064824-4442977;confOf_en#c-6604321-4337835;confOf_en#c-6604321-4337835;0.34809205584266106
confOf_de#c-1165971-3665910;confOf_en#c-5851222-7607068;confOf_en#c-5851222-7607068;0.2805091894671641
confOf_de#op-9878680-0383531;confOf_en#op-5103134-5854227;confOf_en#op-5103134-5854227;0.4414014459246846
confOf_de#op-6246394-5080283;confOf_en#op-5066813-3735504;confOf_en#op-5066813-3735504;0.29533106329075676
confOf_de#ent-3284867-9260202;confOf_en#ent-6734221-5873053;_:Bdeb75f58X2Db7c5X2D4b54X2Da8e5X2D7a6f2957c0f9;0.6179029783919046
