;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.4536233616148764
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.537365067499261
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;tools;0.5783369445023804
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-4815057-3921498;0.4020445919627869
cmt_de#op-0136947-6585575;cmt_en#op-6283707-9260731;cmt_en#op-6283707-9260731;0.5134299464425247
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.31338329266148207
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.2985844665224759
cmt_de#op-4267478-9907556;cmt_en#op-5548425-1932115;cmt_en#op-5548425-1932115;0.441561384605253
cmt_de#c-5403940-4193578;cmt_en#c-1819859-8467443;cmt_en#c-1819859-8467443;0.5972430479044349
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.4971776674376967
cmt_de#c-7914897-1988765;cmt_en#c-3027646-3365825;cmt_en#c-3027646-3365825;0.5004114613343464
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7452997-4133095;0.3586795049711891
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-2674759-3900303;0.5691975035355458
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.2989850310836983
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-3959626-1362323;0.5827298438649127
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.4100980246592559
cmt_de#op-5317809-8410933;cmt_en#op-5714477-9488711;cmt_en#op-5714477-9488711;0.3420729513833212
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-6283707-9260731;0.555453623108072
