;target;prediction_target_1;metric_1
cmt_de#op-7761501-2770581;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.23007302086465073
cmt_de#c-2600954-3812137;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.303786201724698
cmt_de#c-7221579-7498183;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.8353429738220883
cmt_de#c-1253837-4887221;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.2060954786767812
cmt_de#op-9131907-0871491;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.39852527047618913
cmt_de#c-7914897-1988765;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.14604231894432307
cmt_de#c-4872876-3932965;confOf_en#c-4940510-7116222;confOf_en#c-4940510-7116222;0.6229010180183681
cmt_de#op-3286624-6409948;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.4234571446994327
cmt_de#c-9804348-4921383;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.14178735674401619
cmt_de#c-0277212-8406046;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.09738174199926126
