;target;prediction_target_1;metric_1
cmt_de#op-0136947-6585575;cmt_en#op-6283707-9260731;cmt_en#op-6283707-9260731;0.34149534267629256
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.10529801100648863
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7452997-4133095;0.32314756161014324
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.1818319487578772
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.46773360297154337
cmt_de#op-3286624-6409948;cmt_en#op-2852745-7435295;cmt_en#op-2852745-7435295;0.13283158218994817
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0491014-8723432;0.2725670873198359
cmt_de#c-5356419-0853732;cmt_en#c-2079829-2275666;cmt_en#c-2079829-2275666;0.30270778063328774
cmt_de#op-7851598-8792255;cmt_en#op-0563197-2956391;cmt_en#op-0563197-2956391;0.1275895335655717
cmt_de#c-7511748-5827387;cmt_en#c-2074692-1147118;cmt_en#c-2074692-1147118;0.2072324753283477
cmt_de#op-9262861-2168864;cmt_en#op-7848370-1577514;cmt_en#op-7848370-1577514;0.23978832159027605
cmt_de#op-7761501-2770581;cmt_en#op-2611597-4191733;cmt_en#op-2611597-4191733;0.25265885677440564
cmt_de#op-2406368-4587748;cmt_en#op-0455003-6077543;cmt_en#op-0455003-6077543;0.6436945862265697
cmt_de#c-3554876-1135672;cmt_en#c-5375467-1655905;cmt_en#c-5375467-1655905;0.4020872654836801
cmt_de#ent-7525433-8535515;cmt_en#ent-7592571-9671564;cmt_en#ent-7592571-9671564;0.1317521930634261
