;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-4204612-8254155;0.4939877358317612
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.36810349505485906
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.5158677395402537
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;cmt_en#ent-1648737-1451089;0.5897240888422863
cmt_de#ent-3421629-9074086;cmt_en#ent-7385850-0767179;cmt_en#ent-1689293-3812948;0.42025266500116315
cmt_de#c-6476451-2581059;cmt_en#c-1611583-0668331;cmt_en#c-1611583-0668331;0.7466280095204773
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-8994929-8698791;0.7829956917295178
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.35797909387771776
cmt_de#op-6999775-8658617;cmt_en#op-2649033-9712859;cmt_en#op-2649033-9712859;0.3493426406706075
cmt_de#op-2666186-7725287;cmt_en#op-4931010-8867602;cmt_en#op-0261939-6958814;0.8001076466130503
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.2810845516563025
cmt_de#c-5403940-4193578;cmt_en#c-1819859-8467443;cmt_en#c-1819859-8467443;0.5710317354413545
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.6059215319922274
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.3386334527534143
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7758730-0930874;0.5463252278644372
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-4204612-8254155;0.44112816016532413
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.32406145896254346
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-2079829-2275666;0.7280603580736682
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-5994448-5980560;0.7629391235284549
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-1997920-3046898;0.4966465736398631
cmt_de#op-5585072-3196242;cmt_en#op-3741712-7753689;cmt_en#op-3741712-7753689;0.42206934209789976
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.36788402617674687
cmt_de#op-7066350-8155982;cmt_en#op-7758730-0930874;cmt_en#op-7758730-0930874;0.3345759308575329
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.5203628245987755
cmt_de#op-2899154-8812515;cmt_en#op-1599762-7967134;cmt_en#op-1599762-7967134;0.419816912363506
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.23585847060363752
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.4185650418071537
cmt_de#c-2276280-7516043;cmt_en#c-3387453-2881212;_:B70125af0X2D8b5aX2D49c3X2D9286X2D6246ee334772;0.5459968026977883
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.38720116953046096
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.5219591466019491
cmt_de#op-0065286-3503316;cmt_en#op-2958559-8395926;cmt_en#op-2958559-8395926;0.5086914203882443
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-5994448-5980560;0.8006643594371303
cmt_de#op-9131907-0871491;cmt_en#op-8724798-7163354;cmt_en#op-8724798-7163354;0.49472101468157487
cmt_de#op-3286624-6409948;cmt_en#op-2852745-7435295;cmt_en#op-2852745-7435295;0.2883568268408885
cmt_de#op-1108172-2047481;cmt_en#op-6746253-0545056;cmt_en#op-0261939-6958814;0.7134629421994139
cmt_de#ent-7027114-8569150;cmt_en#ent-0531196-9778108;cmt_en#ent-0531196-9778108;0.9607830720240638
cmt_de#ent-7649389-3921230;cmt_en#ent-7669016-6331082;cmt_en#ent-7669016-6331082;0.33093313524507256
cmt_de#c-5888543-5318130;cmt_en#c-7224102-6220619;cmt_en#c-7224102-6220619;0.42017688402046727
cmt_de#op-8350630-9441009;cmt_en#op-2798366-1946309;cmt_en#op-2798366-1946309;0.5102562008667757
cmt_de#c-4575828-4677716;cmt_en#c-5343668-8121191;cmt_en#c-5343668-8121191;0.5360214075342251
cmt_de#c-2600954-3812137;cmt_en#c-3355504-9442806;cmt_en#c-3355504-9442806;0.49134643983476595
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0491014-8723432;0.5141463670527612
cmt_de#op-3385838-2265419;cmt_en#op-0102687-5392298;cmt_en#op-9145996-5514392;0.43419587885222144
cmt_de#op-4385319-7522274;cmt_en#op-1288474-9125864;cmt_en#op-9305729-7081388;0.4715277755458176
cmt_de#c-4872876-3932965;cmt_en#c-4062369-5383392;cmt_en#c-2074692-1147118;0.5084286344913793
cmt_de#ent-7086815-3431611;cmt_en#ent-7312475-4843858;cmt_en#ent-1689293-3812948;0.41614246795819276
cmt_de#c-7221579-7498183;cmt_en#c-3969637-3563037;enable;0.44517560718723637
cmt_de#ent-5017088-6756639;cmt_en#ent-1689293-3812948;cmt_en#ent-1689293-3812948;0.37009102283633916
cmt_de#op-3324750-0695052;cmt_en#op-4309011-4113368;cmt_en#op-2352672-2684910;0.5561964930821945
cmt_de#c-9309131-3067692;cmt_en#c-3945313-3684065;cmt_en#c-3945313-3684065;0.5735839989099851
cmt_de#c-8330184-9824066;cmt_en#c-2282104-8815481;cmt_en#c-5994448-5980560;0.940716839851253
cmt_de#op-7851598-8792255;cmt_en#op-0563197-2956391;cmt_en#op-2958559-8395926;0.40187789345861447
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-6143522-2877268;0.4908140918195016
