;target;prediction_target_1;metric_1
conference_en#ent-4516568-5595755;confOf_de#ent-7472904-1496645;confOf_de#ent-0303881-5975791;0.7202756642160064
conference_en#c-8279198-9011918;confOf_de#c-3756950-6271891;confOf_de#c-3756950-6271891;0.19267090619553986
conference_en#c-7255821-5359025;confOf_de#c-6031375-0881001;confOf_de#c-6031375-0881001;0.810572824594341
conference_en#c-3746645-9598977;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.28765475678549135
conference_en#c-5732310-8306083;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.19434369476168925
conference_en#c-0949358-2763718;confOf_de#c-2463275-9197848;confOf_de#c-2463275-9197848;0.3357984019273848
conference_en#c-4444483-2447834;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.2508561379350672
conference_en#op-6979143-6235556;confOf_de#op-4302120-7233512;confOf_de#op-4302120-7233512;0.6891809908225973
conference_en#c-0975007-5643450;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.1944464424413761
conference_en#ent-8856556-5729357;confOf_de#ent-0303881-5975791;confOf_de#ent-0303881-5975791;0.5766546752495103
