Track;Matcher;Type;Macro Precision (P);Macro Recall (R);Residual Macro Recall (R+);Macro F1;Micro Precision (P);Micro Recall (R);Residual Micro Recall (R+);Micro F1;# of TP;# of Residual TP;# of FP;# of FN;# of Correspondences;Total Runtime;Total Runtime (HH:MM:SS)
de-en;M_0.8;ALL;0.7368357145928903;0.7307642860214617;0.7338810449174008;0.733787441624673;0.7350318471337579;0.7313054499366286;0.7317073170731707;0.7331639135959339;577;540;208;212;785;0;00:00:00
de-en;M_0.8;CLASSES;0.7509091256349468;0.7419580766838979;0.7444778613199666;0.7464067664626726;0.7369439071566731;0.7312859884836852;0.7319148936170212;0.7341040462427745;381;344;136;140;517;-;-
de-en;M_0.8;PROPERTIES;0.5188641221611974;0.5188641221611974;0.5188641221611974;0.5188641221611974;0.7313432835820896;0.7313432835820896;0.7313432835820896;0.7313432835820896;196;196;72;72;268;-;-
de-en;M_0.8;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
de-en;M_0.6000000000000001;ALL;0.6037663771640325;0.5984092343068896;0.5953975224284488;0.6010758694678651;0.6394904458598726;0.6362484157160964;0.6327913279132791;0.6378653113087676;502;467;283;287;785;0;00:00:00
de-en;M_0.6000000000000001;CLASSES;0.6076406206939992;0.6003678934212718;0.599073238652186;0.6039823645952209;0.6382978723404256;0.6333973128598849;0.6276595744680851;0.6358381502890174;330;295;187;191;517;-;-
de-en;M_0.6000000000000001;PROPERTIES;0.4461292463106229;0.4461292463106229;0.4461292463106229;0.4461292463106229;0.6417910447761194;0.6417910447761194;0.6417910447761194;0.6417910447761194;172;172;96;96;268;-;-
de-en;M_0.6000000000000001;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
de-en;M_0.4_optimal_threshold;ALL;0.41057341216529325;0.3660784367039589;0.35681827638664126;0.3870513489319815;0.515625;0.5019011406844106;0.5067750677506775;0.5086705202312138;396;374;372;393;768;0;00:00:00
de-en;M_0.4_optimal_threshold;CLASSES;0.4155087162166857;0.3677458587703751;0.356445102655629;0.39017099816928724;0.5049900199600799;0.4856046065259117;0.49148936170212765;0.4951076320939335;253;231;248;268;501;-;-
